"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(7, 107)",2017,08,8,123,130,Improved,1985,2731
"(7, 108)",2017,08,8,123,130,Improved,1985,2731
"(7, 109)",2017,08,8,123,130,Improved,1985,2731
"(7, 110)",2017,08,8,123,130,Improved,1985,2731
"(7, 111)",2017,08,8,123,130,Improved,1985,2731
"(7, 112)",2017,08,8,123,130,Improved,1985,2731
"(7, 113)",2017,08,8,123,130,Improved,1985,2731
"(7, 114)",2017,08,8,123,130,Improved,1985,2731
"(7, 115)",2017,08,8,123,130,Improved,1985,2731
"(7, 116)",2017,08,8,123,130,Improved,1985,2731
